mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	4/4	2	1	1/8		1/8	1		0	60	C4	4	0
1	1	1/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	1
1	1	1	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	2
1	1	3/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	3
1	1	2	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	67	G4	4	4
1	1	5/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	5
1	1	3	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	6
1	1	7/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	7
2	2	4	0.5	0	0	4/4	1	1	1/8		1/8	1		-4	56	Ab3	3	8
2	2	4	0.5	0	0	4/4	2	1	1/8		1/8	1		0	60	C4	4	9
2	2	9/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	10
2	2	5	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	11
2	2	11/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	12
2	2	6	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	67	G4	4	13
2	2	13/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	14
2	2	7	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	15
2	2	15/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	16
3	3	8	0.5	0	0	4/4	2	1	1/8		1/8	1		0	60	C4	4	17
3	3	17/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	18
3	3	9	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	19
3	3	19/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	20
3	3	10	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	67	G4	4	21
3	3	21/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	22
3	3	11	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	23
3	3	23/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	24
4	4	12	0.5	0	0	4/4	1	1	1/8		1/8	1		-4	56	Ab3	3	25
4	4	12	0.5	0	0	4/4	2	1	1/8		1/8	1		0	60	C4	4	26
4	4	25/2	0.5	1/8	1/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	27
4	4	13	0.5	1/4	1/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	28
4	4	27/2	0.5	3/8	3/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	29
4	4	14	0.5	1/2	1/2	4/4	2	1	1/8		1/8	1		1	67	G4	4	30
4	4	29/2	0.5	5/8	5/8	4/4	2	1	1/8		1/8	1		-1	65	F4	4	31
4	4	15	0.5	3/4	3/4	4/4	2	1	1/8		1/8	1		4	64	E4	4	32
4	4	31/2	0.5	7/8	7/8	4/4	2	1	1/8		1/8	1		2	62	D4	4	33
5	5	16	0.25	0	0	4/4	2	1	1/16		1/16	1		0	60	C4	4	37
5	5	65/4	0.25	1/16	1/16	4/4	2	1	1/16		1/16	1		2	62	D4	4	38
5	5	33/2	0.25	1/8	1/8	4/4	2	1	1/16		1/16	1		4	64	E4	4	39
5	5	67/4	0.25	3/16	3/16	4/4	2	1	1/16		1/16	1		-1	65	F4	4	40
5	5	17	0.5	1/4	1/4	4/4	1	1	1/8		1/8	1		-4	56	Ab3	3	34
5	5	17	0.25	1/4	1/4	4/4	2	1	1/16		1/16	1		1	67	G4	4	41
5	5	69/4	0.25	5/16	5/16	4/4	2	1	1/16		1/16	1		-1	65	F4	4	42
5	5	35/2	0.25	3/8	3/8	4/4	2	1	1/16		1/16	1		4	64	E4	4	43
5	5	71/4	0.25	7/16	7/16	4/4	2	1	1/16		1/16	1		2	62	D4	4	44
5	5	18	0.25	1/2	1/2	4/4	2	1	1/16		1/16	1		0	60	C4	4	45
5	5	73/4	0.25	9/16	9/16	4/4	2	1	1/16		1/16	1		2	62	D4	4	46
5	5	37/2	0.5	5/8	5/8	4/4	1	1	1/8		1/8	1		-4	56	Ab3	3	35
5	5	37/2	0.25	5/8	5/8	4/4	2	1	1/16		1/16	1		4	64	E4	4	47
5	5	75/4	0.25	11/16	11/16	4/4	2	1	1/16		1/16	1		-1	65	F4	4	48
5	5	19	0.25	3/4	3/4	4/4	2	1	1/16		1/16	1		1	67	G4	4	49
5	5	77/4	0.25	13/16	13/16	4/4	2	1	1/16		1/16	1		-1	65	F4	4	50
5	5	39/2	0.5	7/8	7/8	4/4	1	1	1/8		1/8	1		-4	56	Ab3	3	36
5	5	39/2	0.25	7/8	7/8	4/4	2	1	1/16		1/16	1		4	64	E4	4	51
