mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	3.0	0	0	9/8	3	1	3/4		1/2	3/2	1	8	68	G#4	4	3
1	1	0	3.0	0	0	9/8	1	1	3/4		1/2	3/2	1	8	80	G#5	5	0
1	1	0	3.0	0	0	9/8	1	1	3/4		1/2	3/2	1	8	92	G#6	6	0
1	1	3	1.5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		3	57	A3	3	2
1	1	3	1.5	3/4	3/4	9/8	3	1	3/8		1/4	3/2	0	8	68	G#4	4	4
1	1	3	1.5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		3	69	A4	4	2
1	1	3	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2	0	8	80	G#5	5	1
1	1	3	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2	0	8	92	G#6	6	1
2	2	9/2	1.0	0	0	9/8	3	2	1/4		1/4	1		8	32	G#1	1	10
2	2	9/2	3.0	0	0	9/8	3	1	3/4		1/2	3/2	0	8	68	G#4	4	8
2	2	9/2	3.0	0	0	9/8	1	1	3/4		1/2	3/2	0	8	80	G#5	5	5
2	2	9/2	3.0	0	0	9/8	1	1	3/4		1/2	3/2	0	8	92	G#6	6	5
2	2	15/2	1.5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		3	57	A3	3	7
2	2	15/2	1.5	3/4	3/4	9/8	3	1	3/8		1/4	3/2	-1	8	68	G#4	4	9
2	2	15/2	1.5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		3	69	A4	4	7
2	2	15/2	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2	-1	8	80	G#5	5	6
2	2	15/2	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2	-1	8	92	G#6	6	6
3	3	9	3.0	0	0	9/8	3	1	3/4		1/2	3/2	1	8	68	G#4	4	14
3	3	9	3.0	0	0	9/8	1	1	3/4		1/2	3/2	1	8	80	G#5	5	11
3	3	9	3.0	0	0	9/8	1	1	3/4		1/2	3/2	1	8	92	G#6	6	11
3	3	12	1.5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		3	57	A3	3	13
3	3	12	1.5	3/4	3/4	9/8	3	1	3/8		1/4	3/2	-1	8	68	G#4	4	15
3	3	12	1.5	3/4	3/4	9/8	2	1	3/8		1/4	3/2		3	69	A4	4	13
3	3	12	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2	-1	8	80	G#5	5	12
3	3	12	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2	-1	8	92	G#6	6	12
4	4	27/2	3.0	0	0	9/8	1	1	3/4		1/2	3/2	1	8	68	G#4	4	16
4	4	15	0.5	3/8	3/8	9/8	2	1	1/8		1/8	1		2	62	D4	4	18
4	4	31/2	0.5	1/2	1/2	9/8	2	1	1/8		1/8	1		0	60	C4	4	19
4	4	16	0.5	5/8	5/8	9/8	2	1	1/8		1/8	1	1	5	59	B3	3	20
4	4	33/2	1.5	3/4	3/4	9/8	3	1	3/8		1/4	3/2		0	48	C3	3	24
4	4	33/2	0.5	3/4	3/4	9/8	2	1	1/8		1/8	1	-1	5	59	B3	3	21
4	4	33/2	1.5	3/4	3/4	9/8	2	2	3/8		1/4	3/2		5	59	B3	3	23
4	4	33/2	1.5	3/4	3/4	9/8	1	1	3/8		1/4	3/2	-1	8	68	G#4	4	17
4	4	17	1.0	7/8	7/8	9/8	2	1	1/4		1/4	1		4	64	E4	4	22
