mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	3/8	2	1	1/8		1/8	1		5	35	B1	1	3
1	1	0	0.5	0	0	3/8	2	1	1/8		1/8	1		5	47	B2	2	3
1	1	1/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		8	56	G#3	3	4
1	1	1/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		5	59	B3	3	4
1	1	1/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		6	66	F#4	4	4
1	1	3/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	0
1	1	3/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		8	80	G#5	5	0
1	1	3/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		5	83	B5	5	0
1	1	1	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		8	68	G#4	4	1
1	1	1	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		8	80	G#5	5	1
1	1	5/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	59	B3	3	2
1	1	5/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	71	B4	4	2
2	2	2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		11	53	E#3	3	8
2	2	2	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		3	57	A3	3	8
2	2	2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		7	61	C#4	4	5
2	2	2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		3	69	A4	4	5
2	2	2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		7	73	C#5	5	5
2	2	9/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		8	68	G#4	4	6
2	2	9/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		8	80	G#5	5	6
2	2	5/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		6	54	F#3	3	9
2	2	5/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		3	57	A3	3	9
2	2	5/2	0.5	1/4	1/4	3/8	2	1	1/8		1/8	1		5	59	B3	3	9
2	2	5/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		9	63	D#4	4	7
2	2	5/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		3	69	A4	4	7
2	2	5/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		5	71	B4	4	7
2	2	5/2	0.5	1/4	1/4	3/8	1	1	1/8		1/8	1		9	75	D#5	5	7
3	3	3	0.0	0	0	3/8	1	1	0	grace32	1/32	1		5	47	B2	2	10
3	3	3	0.0	0	0	3/8	1	1	0	grace32	1/32	1		3	45	A2	2	11
3	3	3	0.0	0	0	3/8	1	1	0	grace32	1/32	1		8	44	G#2	2	12
3	3	3	0.0	0	0	3/8	1	1	0	grace32	1/32	1		6	42	F#2	2	13
3	3	3	0.0	0	0	3/8	2	1	0	grace32	1/32	1		5	35	B1	1	17
3	3	3	0.0	0	0	3/8	2	1	0	grace32	1/32	1		3	33	A1	1	18
3	3	3	0.0	0	0	3/8	2	1	0	grace32	1/32	1		8	32	G#1	1	19
3	3	3	0.0	0	0	3/8	2	1	0	grace32	1/32	1		6	30	F#1	1	20
3	3	3	0.5	0	0	3/8	2	1	1/8		1/8	1		4	28	E1	1	21
3	3	3	0.5	0	0	3/8	1	1	1/8		1/8	1		4	40	E2	2	14
3	3	7/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		5	35	B1	1	22
3	3	7/2	0.25	1/8	1/8	3/8	2	1	1/16		1/16	1		5	47	B2	2	22
3	3	15/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		6	42	F#2	2	23
3	3	15/4	0.25	3/16	3/16	3/8	2	1	1/16		1/16	1		6	54	F#3	3	23
3	3	4	0.25	1/4	1/4	3/8	2	1	1/16		1/16	1		7	49	C#3	3	24
3	3	4	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		7	61	C#4	4	15
3	3	17/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		8	56	G#3	3	16
3	3	17/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		8	68	G#4	4	16
4	4	9/2	0.25	0	0	3/8	2	1	1/16		1/16	1		4	52	E3	3	29
4	4	9/2	0.25	0	0	3/8	2	1	1/16		1/16	1		4	64	E4	4	29
4	4	19/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		5	59	B3	3	30
4	4	19/4	0.25	1/16	1/16	3/8	2	1	1/16		1/16	1		5	71	B4	4	30
4	4	5	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		7	61	C#4	4	31
4	4	5	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		7	73	C#5	5	25
4	4	21/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		8	68	G#4	4	26
4	4	21/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		8	80	G#5	5	26
4	4	11/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		4	76	E5	5	27
4	4	11/2	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		4	88	E6	6	27
4	4	23/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	83	B5	5	28
4	4	23/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		5	95	B6	6	28
5	5	6	1.0	0	0	3/8	2	2	1/4		1/4	1		8	32	G#1	1	38
5	5	6	1.0	0	0	3/8	2	2	1/4		1/4	1		8	44	G#2	2	38
5	5	25/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		10	82	A#5	5	32
5	5	25/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		10	94	A#6	6	32
5	5	13/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		9	51	D#3	3	37
5	5	13/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		8	56	G#3	3	37
5	5	13/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		12	60	B#3	3	37
5	5	13/2	1.0	1/8	1/8	3/8	2	1	1/4		1/4	1		6	66	F#4	4	37
5	5	13/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		6	78	F#5	5	33
5	5	13/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		9	87	D#6	6	33
5	5	13/2	0.25	1/8	1/8	3/8	1	1	1/16		1/16	1		6	90	F#6	6	33
5	5	27/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		10	70	A#4	4	34
5	5	27/4	0.25	3/16	3/16	3/8	1	1	1/16		1/16	1		10	82	A#5	5	34
5	5	7	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		12	72	B#4	4	35
5	5	7	0.25	1/4	1/4	3/8	1	1	1/16		1/16	1		12	84	B#5	5	35
5	5	29/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		11	77	E#5	5	36
5	5	29/4	0.25	5/16	5/16	3/8	1	1	1/16		1/16	1		11	89	E#6	6	36
6	6	15/2	1.0	0	0	3/8	2	2	1/4		1/4	1		14	38	C##2	2	45
6	6	15/2	1.0	0	0	3/8	2	2	1/4		1/4	1		14	50	C##3	3	45
6	6	31/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		11	77	E#5	5	39
6	6	31/4	0.25	1/16	1/16	3/8	1	1	1/16		1/16	1		11	89	E#6	6	39
6	6	8	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		15	57	G##3	3	44
6	6	8	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		12	60	B#3	3	44
6	6	8	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		6	66	F#4	4	44
6	6	8	0.5	1/8	1/8	3/8	2	1	1/8		1/8	1		15	69	G##4	4	44
