mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	1/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-4	68	Ab4	4	0
1	1	1/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-1	77	F5	5	0
1	1	1	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-6	66	Gb4	4	1
1	1	1	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	1
1	1	3/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		-3	63	Eb4	4	2
1	1	3/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	2
1	1	2	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		0	60	C4	4	3
1	1	2	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		-4	68	Ab4	4	3
1	1	5/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-1	65	F4	4	4
1	1	5/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		-5	73	Db5	5	4
2	2	3	1.0	0	0	3/4	2	1	1/4		1/4	1		3	57	A3	3	11
2	2	3	0.5	0	0	3/4	1	1	1/8		1/8	1		-6	66	Gb4	4	5
2	2	3	0.5	0	0	3/4	1	1	1/8		1/8	1		-3	75	Eb5	5	5
2	2	7/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-3	63	Eb4	4	6
2	2	7/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		0	72	C5	5	6
2	2	4	0.5	1/4	1/4	3/4	2	1	1/8		1/8	1		-6	54	Gb3	3	12
2	2	4	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		0	60	C4	4	7
2	2	4	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	69	A4	4	7
2	2	9/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		-4	56	Ab3	3	13
2	2	5	0.75	1/2	1/2	3/4	2	1	3/16		1/8	3/2		3	57	A3	3	14
2	2	5	0.25	1/2	1/2	3/4	1	1	1/16		1/16	1		-6	66	Gb4	4	8
2	2	5	0.25	1/2	1/2	3/4	1	1	1/16		1/16	1		-3	75	Eb5	5	8
2	2	21/4	0.25	9/16	9/16	3/4	1	1	1/16		1/16	1		-3	63	Eb4	4	9
2	2	21/4	0.25	9/16	9/16	3/4	1	1	1/16		1/16	1		0	72	C5	5	9
2	2	11/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1	1	0	60	C4	4	10
2	2	11/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1	1	3	69	A4	4	10
