mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.125	0	0	3/4	2	1	1/32	1/32	1		-7	59	Cb4	4	0
1	1	1/8	0.125	1/32	1/32	3/4	2	1	1/32	1/32	1		-5	61	Db4	4	1
1	1	1/4	0.125	1/16	1/16	3/4	2	1	1/32	1/32	1		-3	63	Eb4	4	2
1	1	3/8	0.125	3/32	3/32	3/4	2	1	1/32	1/32	1		-1	65	F4	4	3
1	1	1/2	0.125	1/8	1/8	3/4	2	1	1/32	1/32	1		-6	66	Gb4	4	4
1	1	5/8	0.125	5/32	5/32	3/4	2	1	1/32	1/32	1		-1	65	F4	4	5
1	1	3/4	0.125	3/16	3/16	3/4	2	1	1/32	1/32	1		-3	63	Eb4	4	6
1	1	7/8	0.125	7/32	7/32	3/4	2	1	1/32	1/32	1		-5	61	Db4	4	7
1	1	1	0.125	1/4	1/4	3/4	2	1	1/32	1/32	1		-3	63	Eb4	4	8
1	1	9/8	0.125	9/32	9/32	3/4	2	1	1/32	1/32	1		-1	65	F4	4	9
1	1	5/4	0.125	5/16	5/16	3/4	2	1	1/32	1/32	1		-6	66	Gb4	4	10
1	1	11/8	0.125	11/32	11/32	3/4	2	1	1/32	1/32	1		-4	68	Ab4	4	11
1	1	3/2	0.125	3/8	3/8	3/4	2	1	1/32	1/32	1		-2	70	Bb4	4	12
1	1	13/8	0.125	13/32	13/32	3/4	2	1	1/32	1/32	1		-4	68	Ab4	4	13
1	1	7/4	0.125	7/16	7/16	3/4	2	1	1/32	1/32	1		-6	66	Gb4	4	14
1	1	15/8	0.125	15/32	15/32	3/4	2	1	1/32	1/32	1		-1	65	F4	4	15
1	1	2	0.125	1/2	1/2	3/4	2	1	1/32	1/32	1		-3	63	Eb4	4	16
1	1	17/8	0.125	17/32	17/32	3/4	2	1	1/32	1/32	1		-1	65	F4	4	17
1	1	9/4	0.125	9/16	9/16	3/4	2	1	1/32	1/32	1		-6	66	Gb4	4	18
1	1	19/8	0.125	19/32	19/32	3/4	2	1	1/32	1/32	1		-4	68	Ab4	4	19
1	1	5/2	0.125	5/8	5/8	3/4	2	1	1/32	1/32	1		-6	66	Gb4	4	20
1	1	21/8	0.125	21/32	21/32	3/4	2	1	1/32	1/32	1		-1	65	F4	4	21
1	1	11/4	0.125	11/16	11/16	3/4	2	1	1/32	1/32	1		-3	63	Eb4	4	22
1	1	23/8	0.125	23/32	23/32	3/4	2	1	1/32	1/32	1		-5	61	Db4	4	23
2	2	3	0.125	0	0	2/4	2	1	1/32	1/32	1		-7	59	Cb4	4	24
2	2	25/8	0.125	1/32	1/32	2/4	2	1	1/32	1/32	1		-5	61	Db4	4	25
2	2	13/4	0.125	1/16	1/16	2/4	2	1	1/32	1/32	1		-3	63	Eb4	4	26
2	2	27/8	0.125	3/32	3/32	2/4	2	1	1/32	1/32	1		-1	65	F4	4	27
2	2	7/2	0.125	1/8	1/8	2/4	2	1	1/32	1/32	1		-6	66	Gb4	4	28
2	2	29/8	0.125	5/32	5/32	2/4	2	1	1/32	1/32	1		-1	65	F4	4	29
2	2	15/4	0.125	3/16	3/16	2/4	2	1	1/32	1/32	1		-3	63	Eb4	4	30
2	2	31/8	0.125	7/32	7/32	2/4	2	1	1/32	1/32	1		-5	61	Db4	4	31
2	2	4	0.125	1/4	1/4	2/4	2	1	1/32	1/32	1		5	59	B3	3	32
2	2	33/8	0.125	9/32	9/32	2/4	2	1	1/32	1/32	1		0	60	C4	4	33
2	2	17/4	0.125	5/16	5/16	2/4	2	1	1/32	1/32	1		2	62	D4	4	34
2	2	35/8	0.125	11/32	11/32	2/4	2	1	1/32	1/32	1		4	64	E4	4	35
2	2	9/2	0.125	3/8	3/8	2/4	2	1	1/32	1/32	1		-1	65	F4	4	36
2	2	37/8	0.125	13/32	13/32	2/4	2	1	1/32	1/32	1		4	64	E4	4	37
2	2	19/4	0.125	7/16	7/16	2/4	2	1	1/32	1/32	1		2	62	D4	4	38
2	2	39/8	0.125	15/32	15/32	2/4	2	1	1/32	1/32	1		0	60	C4	4	39
3	3	5	0.125	0	0	2/4	2	1	1/32	1/32	1		-7	59	Cb4	4	40
3	3	41/8	0.125	1/32	1/32	2/4	2	1	1/32	1/32	1		-5	61	Db4	4	41
3	3	21/4	0.125	1/16	1/16	2/4	2	1	1/32	1/32	1		-3	63	Eb4	4	42
3	3	43/8	0.125	3/32	3/32	2/4	2	1	1/32	1/32	1		-1	65	F4	4	43
3	3	11/2	0.125	1/8	1/8	2/4	2	1	1/32	1/32	1		-6	66	Gb4	4	44
3	3	45/8	0.125	5/32	5/32	2/4	2	1	1/32	1/32	1		-1	65	F4	4	45
3	3	23/4	0.125	3/16	3/16	2/4	2	1	1/32	1/32	1		-3	63	Eb4	4	46
3	3	47/8	0.125	7/32	7/32	2/4	2	1	1/32	1/32	1		-5	61	Db4	4	47
3	3	6	0.125	1/4	1/4	2/4	2	1	1/32	1/32	1		5	59	B3	3	48
3	3	49/8	0.125	9/32	9/32	2/4	2	1	1/32	1/32	1		0	60	C4	4	49
3	3	25/4	0.125	5/16	5/16	2/4	2	1	1/32	1/32	1		2	62	D4	4	50
3	3	51/8	0.125	11/32	11/32	2/4	2	1	1/32	1/32	1		4	64	E4	4	51
3	3	13/2	0.125	3/8	3/8	2/4	2	1	1/32	1/32	1		-1	65	F4	4	52
3	3	53/8	0.125	13/32	13/32	2/4	2	1	1/32	1/32	1		4	64	E4	4	53
3	3	27/4	0.125	7/16	7/16	2/4	2	1	1/32	1/32	1		2	62	D4	4	54
3	3	55/8	0.125	15/32	15/32	2/4	2	1	1/32	1/32	1		0	60	C4	4	55
4	4	7	0.125	0	0	3/4	2	1	1/32	1/32	1		-4	56	Ab3	3	56
4	4	7	0.25	0	0	3/4	2	2	1/16	1/16	1		-4	56	Ab3	3	80
4	4	57/8	0.125	1/32	1/32	3/4	2	1	1/32	1/32	1		-2	58	Bb3	3	57
4	4	29/4	0.125	1/16	1/16	3/4	2	1	1/32	1/32	1		-7	59	Cb4	4	58
4	4	59/8	0.125	3/32	3/32	3/4	2	1	1/32	1/32	1		-5	61	Db4	4	59
4	4	15/2	0.125	1/8	1/8	3/4	2	1	1/32	1/32	1		-3	63	Eb4	4	60
4	4	61/8	0.125	5/32	5/32	3/4	2	1	1/32	1/32	1		-5	61	Db4	4	61
4	4	31/4	0.125	3/16	3/16	3/4	2	1	1/32	1/32	1		-7	59	Cb4	4	62
4	4	63/8	0.125	7/32	7/32	3/4	2	1	1/32	1/32	1		-2	58	Bb3	3	63
4	4	8	0.125	1/4	1/4	3/4	2	1	1/32	1/32	1		1	55	G3	3	64
4	4	8	0.25	1/4	1/4	3/4	2	2	1/16	1/16	1		1	55	G3	3	81
4	4	65/8	0.125	9/32	9/32	3/4	2	1	1/32	1/32	1		3	57	A3	3	65
4	4	33/4	0.125	5/16	5/16	3/4	2	1	1/32	1/32	1		5	59	B3	3	66
4	4	67/8	0.125	11/32	11/32	3/4	2	1	1/32	1/32	1		0	60	C4	4	67
