mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.25	0	0	4/4	1	1	1/16	1/16	1		7	61	C#4	4	0
1	1	1/4	0.25	1/16	1/16	4/4	1	1	1/16	1/16	1		7	61	C#4	4	1
1	1	1/2	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1		7	61	C#4	4	2
1	1	3/4	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		7	61	C#4	4	3
1	1	1	0.25	1/4	1/4	4/4	1	1	1/16	1/16	1		2	62	D4	4	4
1	1	5/4	0.25	5/16	5/16	4/4	1	1	1/16	1/16	1		2	62	D4	4	5
1	1	3/2	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		2	62	D4	4	6
1	1	7/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		2	62	D4	4	7
1	1	2	0.25	1/2	1/2	4/4	1	1	1/16	1/16	1		0	60	C4	4	8
1	1	9/4	0.25	9/16	9/16	4/4	1	1	1/16	1/16	1		0	60	C4	4	9
1	1	5/2	0.25	5/8	5/8	4/4	1	1	1/16	1/16	1		0	60	C4	4	10
1	1	11/4	0.25	11/16	11/16	4/4	1	1	1/16	1/16	1		0	60	C4	4	11
1	1	3	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		6	54	F#3	3	12
2	2	9/2	0.25	1/8	1/8	4/4	1	1	1/16	1/16	1		3	57	A3	3	13
2	2	19/4	0.25	3/16	3/16	4/4	1	1	1/16	1/16	1		3	57	A3	3	14
2	2	5	0.25	1/4	1/4	4/4	1	1	1/16	1/16	1		7	61	C#4	4	15
2	2	21/4	0.25	5/16	5/16	4/4	1	1	1/16	1/16	1		7	61	C#4	4	16
2	2	11/2	0.25	3/8	3/8	4/4	1	1	1/16	1/16	1		9	63	D#4	4	17
2	2	23/4	0.25	7/16	7/16	4/4	1	1	1/16	1/16	1		9	63	D#4	4	18
2	2	6	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		5	71	B4	4	19
2	2	7	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		-1	29	F1	1	20
2	2	7	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		-1	41	F2	2	20
2	2	29/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		-1	41	F2	2	21
3	3	8	0.25	0	0	4/4	2	1	1/16	1/16	1		-3	27	Eb1	1	22
3	3	8	0.25	0	0	4/4	2	1	1/16	1/16	1		-3	39	Eb2	2	22
3	3	33/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		-3	39	Eb2	2	23
3	3	9	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		-1	29	F1	1	24
3	3	9	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		-1	41	F2	2	24
3	3	37/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		-1	41	F2	2	25
3	3	21/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		1	31	G1	1	26
3	3	21/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		1	43	G2	2	26
3	3	43/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		1	43	G2	2	27
3	3	11	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		3	33	A1	1	28
3	3	11	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		3	45	A2	2	28
