mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-6	3/4	3/4	0					firstMeasure	2
2	2	3	2.0	-6	2/4	1/2	0						3
3	3	5	2.0	-6	2/4	1/2	0						4
4	4	7	3.0	-6	3/4	3/4	0				line		5
5	5	10	2.0	-6	2/4	1/2	0						6
6	6	12	2.0	-6	2/4	1/2	0				line		7
7	7	14	2.0	-6	2/4	1/2	0						8
8	8	16	2.0	-6	2/4	1/2	0				line		9
9	9	18	2.0	-6	2/4	1/2	0						10
10	10	20	2.0	-6	2/4	1/2	0				page		11
11	11	22	2.0	-6	2/4	1/2	0						12
12	12	24	2.0	-6	2/4	1/2	0			double	line		13
13	13	26	2.0	-3	2/4	1/2	0						14
14	14	28	2.0	-3	2/4	1/2	0						15
15	15	30	2.0	-3	2/4	1/2	0				line		16
16	16	32	2.0	-3	2/4	1/2	0						17
17	17	34	2.0	-3	2/4	1/2	0						18
18	18	36	2.0	-3	2/4	1/2	0				line		19
19	19	38	2.0	-3	2/4	1/2	0						20
20	20	40	2.0	-3	2/4	1/2	0						21
21	21	42	2.0	-3	2/4	1/2	0				line		22
22	22	44	2.0	-3	2/4	1/2	0						23
23	23	46	2.0	-3	2/4	1/2	0						24
24	24	48	2.0	-3	2/4	1/2	0				page		25
25	25	50	2.0	-3	2/4	1/2	0						26
26	26	52	2.0	-3	2/4	1/2	0						27
27	27	54	2.0	-3	2/4	1/2	0				line		28
28	28	56	2.0	-3	2/4	1/2	0						29
29	29	58	2.0	0	2/4	1/2	0				line		30
30	30	60	2.0	0	2/4	1/2	0						31
31	31	62	2.0	0	2/4	1/2	0				line		32
32	32	64	2.0	0	2/4	1/2	0			double			33
33	33	66	2.0	-6	2/4	1/2	0				line		34
34	34	68	2.0	-6	2/4	1/2	0				page		35
35	35	70	2.0	-6	2/4	1/2	0						36
36	36	72	2.0	-6	2/4	1/2	0				line		37
37	37	74	2.0	-6	2/4	1/2	0						38
38	38	76	2.0	-6	2/4	1/2	0				line		39
39	39	78	2.0	-6	2/4	1/2	0						40
40	40	80	1.0	-6	2/4	1/4	0				line		41
41	40	81	1.0	-6	2/4	1/4	1/4		1				42
42	41	82	2.0	-6	2/4	1/2	0			double	line		43
43	42	84	3.0	-6	3/4	3/4	0						44
44	43	87	2.0	-6	2/4	1/2	0				page		45
45	44	89	2.0	-6	2/4	1/2	0						46
46	45	91	3.0	-6	3/4	3/4	0				line		47
47	46	94	2.0	-6	2/4	1/2	0						48
48	47	96	2.0	-6	2/4	1/2	0				line		49
49	48	98	2.0	-6	2/4	1/2	0						50
50	49	100	2.0	-6	2/4	1/2	0						51
51	50	102	2.0	-6	2/4	1/2	0						52
52	51	104	2.0	-6	2/4	1/2	0						53
53	52	106	2.0	-6	2/4	1/2	0						54
54	53	108	2.0	-6	2/4	1/2	0				page		55
55	54	110	3.0	-6	3/4	3/4	0				line		56
56	55	113	3.0	-6	3/4	3/4	0				line		57
57	56	116	3.0	-6	3/4	3/4	0				line		58
58	57	119	3.0	-6	3/4	3/4	0				line		59
59	58	122	3.0	-6	3/4	3/4	0				page		60
60	59	125	3.0	-6	3/4	3/4	0				line		61
61	60	128	2.0	-6	2/4	1/2	0						62
62	61	130	2.0	-6	2/4	1/2	0				line		63
63	62	132	2.0	-6	2/4	1/2	0						64
64	63	134	2.0	-6	2/4	1/2	0				line		65
65	64	136	2.0	-6	2/4	1/2	0						66
66	65	138	2.0	-6	2/4	1/2	0				line		67
67	66	140	2.0	-6	2/4	1/2	0						68
68	67	142	2.0	-6	2/4	1/2	0						69
69	68	144	2.0	-6	2/4	1/2	0					lastMeasure	-1
