mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-1	6/8	3/4	0					firstMeasure	2
2	2	3	1.5	-1	6/8	3/8	0				line		3
3	2	9/2	1.5	-1	6/8	3/8	3/8		1				4
4	3	6	3.0	-1	6/8	3/4	0				line		5
5	4	9	3.0	-1	6/8	3/4	0						6
6	5	12	3.0	-1	6/8	3/4	0				line		7
7	6	15	3.0	-1	6/8	3/4	0			double			8
8	7	18	2.0	-1	2/4	1/2	0						9
9	8	20	2.0	-1	2/4	1/2	0				line		10
10	9	22	3.0	-6	6/8	3/4	0						11
11	10	25	3.0	-6	6/8	3/4	0				line		12
12	11	28	3.0	-1	6/8	3/4	0			double			13
13	12	31	1.5	0	6/8	3/8	0				line		14
14	12	65/2	1.5	0	6/8	3/8	3/8		1				15
15	13	34	3.0	0	6/8	3/4	0				line		16
16	14	37	3.0	0	6/8	3/4	0						17
17	15	40	1.5	0	6/8	3/8	0				line		18
18	15	83/2	1.5	0	6/8	3/8	3/8		1				19
19	16	43	3.0	0	6/8	3/4	0			double	page		20
20	17	46	3.0	3	6/8	3/4	0						21
21	18	49	1.5	3	6/8	3/8	0				line		22
22	18	101/2	1.5	3	6/8	3/8	3/8		1				23
23	19	52	3.0	3	6/8	3/4	0						24
24	20	55	3.0	3	6/8	3/4	0						25
25	21	58	1.5	3	6/8	3/8	0				line		26
26	21	119/2	1.5	3	6/8	3/8	3/8		1	double			27
27	22	61	3.0	0	6/8	3/4	0				line		28
28	23	64	1.5	0	3/8	3/8	0						29
29	24	131/2	3.0	0	6/8	3/4	0				page		30
30	25	137/2	3.0	0	6/8	3/4	0						31
31	26	143/2	3.0	0	6/8	3/4	0				line		32
32	27	149/2	3.0	3	6/8	3/4	0						33
33	28	155/2	3.0	3	6/8	3/4	0				line		34
34	29	161/2	3.0	3	6/8	3/4	0			double			35
35	30	167/2	1.5	0	6/8	3/8	0				line		36
36	30	85	1.5	0	6/8	3/8	3/8		1				37
37	31	173/2	1.5	0	6/8	3/8	0				line		38
38	31	88	1.5	0	6/8	3/8	3/8		1				39
39	32	179/2	3.0	0	6/8	3/4	0			double	page		40
40	33	185/2	3.0	5	6/8	3/4	0				line		41
41	34	191/2	3.0	5	6/8	3/4	0				line		42
42	35	197/2	2.5	5	5/8	5/8	0						43
43	36	101	2.5	-4	5/8	5/8	0						44
44	37	207/2	3.0	-4	6/8	3/4	0				page		45
45	38	213/2	3.0	-4	6/8	3/4	0				line		46
46	39	219/2	3.0	4	6/8	3/4	0				line		47
47	40	225/2	1.5	4	3/8	3/8	0						48
48	41	114	3.0	4	6/8	3/4	0			double			49
49	42	117	3.0	-1	6/8	3/4	0				line		50
50	43	120	3.0	-1	6/8	3/4	0						51
51	44	123	1.5	-1	6/8	3/8	0				line		52
52	44	249/2	1.5	-1	6/8	3/8	3/8		1				53
53	45	126	3.0	-1	6/8	3/4	0						54
54	46	129	3.0	-1	6/8	3/4	0				page		55
55	47	132	3.0	-1	6/8	3/4	0			double			56
56	48	135	2.0	-1	2/4	1/2	0				line		57
57	49	137	2.0	-1	2/4	1/2	0				line		58
58	50	139	1.5	-1	6/8	3/8	0				line		59
59	49	281/2	1.5	-1	6/8	3/8	3/8	-1	1		line		60
60	50	142	3.0	-1	6/8	3/4	0						61
61	51	145	3.0	-1	6/8	3/4	0						62
62	52	148	3.0	-1	6/8	3/4	0					lastMeasure	-1
