mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.5	4	9/8	9/8	0					firstMeasure	2
2	2	9/2	4.5	4	9/8	9/8	0						3
3	3	9	4.5	4	9/8	9/8	0						4
4	4	27/2	4.5	4	9/8	9/8	0						5
5	5	18	4.5	4	9/8	9/8	0						6
6	6	45/2	4.5	4	9/8	9/8	0			double	line		7
7	7	27	4.5	0	9/8	9/8	0						8
8	8	63/2	4.5	0	9/8	9/8	0						9
9	9	36	4.5	0	9/8	9/8	0						10
10	10	81/2	4.5	0	9/8	9/8	0				line		11
11	11	45	4.5	0	9/8	9/8	0						12
12	12	99/2	4.5	0	9/8	9/8	0						13
13	13	54	4.5	0	9/8	9/8	0						14
14	14	117/2	4.5	0	9/8	9/8	0				page		15
15	15	63	3.0	4	3/4	3/4	0						16
16	16	66	3.0	4	3/4	3/4	0						17
17	17	69	3.0	4	3/4	3/4	0						18
18	18	72	3.0	4	3/4	3/4	0						19
19	19	75	3.0	4	3/4	3/4	0				line		20
20	20	78	3.0	4	3/4	3/4	0						21
21	21	81	3.0	4	3/4	3/4	0						22
22	22	84	3.0	4	3/4	3/4	0						23
23	23	87	3.0	4	3/4	3/4	0						24
24	24	90	3.0	4	3/4	3/4	0				line		25
25	25	93	3.0	4	3/4	3/4	0						26
26	26	96	3.0	4	3/4	3/4	0						27
27	27	99	3.0	4	3/4	3/4	0						28
28	28	102	3.0	4	3/4	3/4	0						29
29	29	105	3.0	4	3/4	3/4	0				line		30
30	30	108	3.0	4	3/4	3/4	0			double			31
31	31	111	3.0	4	3/4	3/4	0						32
32	32	114	3.0	4	3/4	3/4	0						33
33	33	117	3.0	4	3/4	3/4	0				line		34
34	34	120	3.0	4	3/4	3/4	0						35
35	35	123	3.0	4	3/4	3/4	0						36
36	36	126	3.0	4	3/4	3/4	0						37
37	37	129	3.0	4	3/4	3/4	0				page		38
38	38	132	4.5	7	9/8	9/8	0						39
39	39	273/2	4.5	7	9/8	9/8	0						40
40	40	141	4.5	7	9/8	9/8	0						41
41	41	291/2	4.5	7	9/8	9/8	0						42
42	42	150	4.5	7	9/8	9/8	0				line		43
43	43	309/2	4.5	7	9/8	9/8	0						44
44	44	159	4.5	7	9/8	9/8	0						45
45	45	327/2	4.5	7	9/8	9/8	0				line		46
46	46	168	4.5	7	9/8	9/8	0						47
47	47	345/2	4.5	7	9/8	9/8	0						48
48	48	177	4.5	7	9/8	9/8	0				line		49
49	49	363/2	4.5	7	9/8	9/8	0						50
50	50	186	4.5	7	9/8	9/8	0						51
51	51	381/2	4.5	7	9/8	9/8	0						52
52	52	195	4.5	7	9/8	9/8	0				page		53
53	53	399/2	4.5	7	9/8	9/8	0						54
54	54	204	4.5	7	9/8	9/8	0						55
55	55	417/2	4.5	7	9/8	9/8	0						56
56	56	213	4.5	7	9/8	9/8	0				line		57
57	57	435/2	4.5	7	9/8	9/8	0						58
58	58	222	4.5	7	9/8	9/8	0			double			59
59	59	453/2	3.0	4	3/4	3/4	0						60
60	60	459/2	3.0	4	3/4	3/4	0				line		61
61	61	465/2	3.0	4	3/4	3/4	0						62
62	62	471/2	3.0	4	3/4	3/4	0			double			63
63	63	477/2	3.0	4	3/4	3/4	0				line		64
64	64	483/2	3.0	4	3/4	3/4	0						65
65	65	489/2	3.0	4	3/4	3/4	0						66
66	66	495/2	3.0	4	3/4	3/4	0						67
67	67	501/2	3.0	4	3/4	3/4	0						68
68	68	507/2	3.0	4	3/4	3/4	0				line		69
69	69	513/2	3.0	4	3/4	3/4	0						70
70	70	519/2	3.0	4	3/4	3/4	0						71
71	71	525/2	3.0	4	3/4	3/4	0						72
72	72	531/2	3.0	4	3/4	3/4	0						73
73	73	537/2	3.0	4	3/4	3/4	0						74
74	74	543/2	3.0	4	3/4	3/4	0						75
75	75	549/2	3.0	4	3/4	3/4	0					lastMeasure	-1
